timestamp,eID,objectVersion,classID,jsonDate,sensorConfig,sensorMeasures,altHeight,altHeightft,vT,datetime
,ALT_external,1.0,Altitude,30-Dec-2024,{'Serial': 'SPH_heigh_sensor'},"[{'measureLabel': 'altHeight', 'measureDescriptor': 'Height measured by the height sensor', 'measureType': 'number', 'measureUnit': 'm', 'measureUnitEx': 'meter (m)', 'measureLow': -1, 'measureHigh': 100, 'measureResolution': 0.01, 'measureAccuracy': 0.1, 'synchronisation_method': 0}, {'measureLabel': 'altHeight', 'measureDescriptor': 'Height measured by the height sensor', 'measureType': 'number', 'measureUnit': 'ft', 'measureUnitEx': 'feet (ft)', 'measureLow': -1, 'measureHigh': 100, 'measureResolution': 0.01, 'measureAccuracy': 0.1, 'synchronisation_method': 0}]",,,,
1749562270158.0,ALT_external,,,,,,0.77,2.53,1749562270158.0,2025-06-10 13:31:10.158
1749562270359.0,ALT_external,,,,,,0.77,2.53,1749562270359.0,2025-06-10 13:31:10.359
1749562270559.0,ALT_external,,,,,,0.77,2.53,1749562270559.0,2025-06-10 13:31:10.559
1749562270759.0,ALT_external,,,,,,0.78,2.56,1749562270759.0,2025-06-10 13:31:10.759
1749562270959.0,ALT_external,,,,,,0.79,2.59,1749562270959.0,2025-06-10 13:31:10.959
1749562271160.0,ALT_external,,,,,,0.87,2.85,1749562271160.0,2025-06-10 13:31:11.160
1749562271360.0,ALT_external,,,,,,0.87,2.85,1749562271360.0,2025-06-10 13:31:11.360
1749562271560.0,ALT_external,,,,,,0.87,2.85,1749562271560.0,2025-06-10 13:31:11.560
1749562271760.0,ALT_external,,,,,,0.87,2.85,1749562271760.0,2025-06-10 13:31:11.760
1749562271961.0,ALT_external,,,,,,0.86,2.82,1749562271961.0,2025-06-10 13:31:11.961
1749562272161.0,ALT_external,,,,,,0.78,2.56,1749562272161.0,2025-06-10 13:31:12.161
1749562272361.0,ALT_external,,,,,,0.78,2.56,1749562272361.0,2025-06-10 13:31:12.361
1749562272562.0,ALT_external,,,,,,0.78,2.56,1749562272562.0,2025-06-10 13:31:12.562
1749562272762.0,ALT_external,,,,,,0.78,2.56,1749562272762.0,2025-06-10 13:31:12.762
1749562272962.0,ALT_external,,,,,,0.79,2.59,1749562272962.0,2025-06-10 13:31:12.962
1749562273163.0,ALT_external,,,,,,0.78,2.56,1749562273163.0,2025-06-10 13:31:13.163
1749562273363.0,ALT_external,,,,,,0.86,2.82,1749562273363.0,2025-06-10 13:31:13.363
1749562273563.0,ALT_external,,,,,,0.79,2.59,1749562273563.0,2025-06-10 13:31:13.563
1749562273763.0,ALT_external,,,,,,0.78,2.56,1749562273763.0,2025-06-10 13:31:13.763
1749562273964.0,ALT_external,,,,,,0.78,2.56,1749562273964.0,2025-06-10 13:31:13.964
1749562274164.0,ALT_external,,,,,,0.86,2.82,1749562274164.0,2025-06-10 13:31:14.164
1749562274364.0,ALT_external,,,,,,0.87,2.85,1749562274364.0,2025-06-10 13:31:14.364
1749562274565.0,ALT_external,,,,,,0.83,2.72,1749562274565.0,2025-06-10 13:31:14.565
1749562274765.0,ALT_external,,,,,,0.79,2.59,1749562274765.0,2025-06-10 13:31:14.765
1749562274965.0,ALT_external,,,,,,0.78,2.56,1749562274965.0,2025-06-10 13:31:14.965
1749562275165.0,ALT_external,,,,,,0.78,2.56,1749562275165.0,2025-06-10 13:31:15.165
1749562275366.0,ALT_external,,,,,,0.81,2.66,1749562275366.0,2025-06-10 13:31:15.366
1749562275566.0,ALT_external,,,,,,0.87,2.85,1749562275566.0,2025-06-10 13:31:15.566
1749562275766.0,ALT_external,,,,,,0.81,2.66,1749562275766.0,2025-06-10 13:31:15.766
1749562275966.0,ALT_external,,,,,,0.78,2.56,1749562275966.0,2025-06-10 13:31:15.966
1749562276167.0,ALT_external,,,,,,0.78,2.56,1749562276167.0,2025-06-10 13:31:16.167
1749562276367.0,ALT_external,,,,,,0.86,2.82,1749562276367.0,2025-06-10 13:31:16.367
1749562276567.0,ALT_external,,,,,,0.87,2.85,1749562276567.0,2025-06-10 13:31:16.567
1749562276768.0,ALT_external,,,,,,0.87,2.85,1749562276768.0,2025-06-10 13:31:16.768
1749562276968.0,ALT_external,,,,,,0.83,2.72,1749562276968.0,2025-06-10 13:31:16.968
