timestamp,eID,Lat,Lon,Height,HeightMSL,gpsFix,Date,hDOP,noSat,vT,datetime
1749562270158,GPS_external,0,0,44.3,44.3,fix,1749562268000,9999,4,1749562270158,2025-06-10 13:31:10.158
1749562270358,GPS_external,0,0,44.4,44.4,fix,1749562268000,9999,4,1749562270358,2025-06-10 13:31:10.358
1749562270559,GPS_external,0,0,44.4,44.4,fix,1749562268000,9999,4,1749562270559,2025-06-10 13:31:10.559
1749562270759,GPS_external,0,0,44.4,44.4,fix,1749562268000,9999,4,1749562270759,2025-06-10 13:31:10.759
1749562270959,GPS_external,0,0,44.4,44.4,fix,1749562268000,9999,4,1749562270959,2025-06-10 13:31:10.959
1749562271159,GPS_external,0,0,44.4,44.4,fix,1749562269000,9999,4,1749562271159,2025-06-10 13:31:11.159
1749562271360,GPS_external,0,0,44.4,44.4,fix,1749562269000,9999,4,1749562271360,2025-06-10 13:31:11.360
1749562271560,GPS_external,0,0,44.4,44.4,fix,1749562269000,9999,4,1749562271560,2025-06-10 13:31:11.560
1749562271760,GPS_external,0,0,44.4,44.4,fix,1749562269000,9999,4,1749562271760,2025-06-10 13:31:11.760
1749562271960,GPS_external,0,0,44.5,44.5,fix,1749562269000,9999,4,1749562271960,2025-06-10 13:31:11.960
1749562272161,GPS_external,0,0,44.5,44.5,fix,1749562270000,9999,4,1749562272161,2025-06-10 13:31:12.161
1749562272361,GPS_external,0,0,44.5,44.5,fix,1749562270000,9999,4,1749562272361,2025-06-10 13:31:12.361
1749562272562,GPS_external,0,0,44.5,44.5,fix,1749562270000,9999,4,1749562272562,2025-06-10 13:31:12.562
1749562272762,GPS_external,0,0,44.6,44.6,fix,1749562270000,9999,4,1749562272762,2025-06-10 13:31:12.762
1749562272962,GPS_external,0,0,44.6,44.6,fix,1749562270000,9999,4,1749562272962,2025-06-10 13:31:12.962
1749562273162,GPS_external,0,0,44.6,44.6,fix,1749562271000,9999,4,1749562273162,2025-06-10 13:31:13.162
1749562273363,GPS_external,0,0,44.6,44.6,fix,1749562271000,9999,4,1749562273363,2025-06-10 13:31:13.363
1749562273563,GPS_external,0,0,44.7,44.7,fix,1749562271000,9999,4,1749562273563,2025-06-10 13:31:13.563
1749562273763,GPS_external,0,0,44.7,44.7,fix,1749562271000,9999,4,1749562273763,2025-06-10 13:31:13.763
1749562273964,GPS_external,0,0,44.7,44.7,fix,1749562271000,9999,4,1749562273964,2025-06-10 13:31:13.964
1749562274164,GPS_external,0,0,44.7,44.7,fix,1749562272000,9999,4,1749562274164,2025-06-10 13:31:14.164
1749562274364,GPS_external,0,0,44.7,44.7,fix,1749562272000,9999,4,1749562274364,2025-06-10 13:31:14.364
1749562274564,GPS_external,0,0,44.7,44.7,fix,1749562272000,9999,4,1749562274564,2025-06-10 13:31:14.564
1749562274765,GPS_external,0,0,44.7,44.7,fix,1749562272000,9999,4,1749562274765,2025-06-10 13:31:14.765
1749562274965,GPS_external,0,0,44.7,44.7,fix,1749562272000,9999,4,1749562274965,2025-06-10 13:31:14.965
1749562275165,GPS_external,0,0,44.7,44.7,fix,1749562273000,9999,4,1749562275165,2025-06-10 13:31:15.165
