timestamp,eID,objectVersion,classID,sensorMeasures,sensorConfig,Realtime,Livetime,Spectrum_length,Spectrum_sum,Spectrum_max,Total,Countrate,Cosmics,vT,datetime
,SPECTRO_,1.1,Spectrometer,"[{'measureLabel': 'Spectrum', 'measureDescriptor': 'A raw gamma-ray spectrum', 'measureType': 'array', 'measureUnit': 'cnts', 'measureUnitEx': 'count(s)', 'measureLow': 0, 'measureHigh': 4294967295, 'measureResolution': 1, 'measureAccuracy': 1, 'array_size': 512, 'synchronisation_method': 0}, {'measureLabel': 'Livetime', 'measureDescriptor': 'Time the sensor actually measured', 'measureType': 'number', 'measureUnit': 's', 'measureUnitEx': 'second(s)', 'measureLow': 0, 'measureHigh': 4294967295, 'measureResolution': 0.001, 'measureAccuracy': 0.001, 'synchronisation_method': 0}, {'measureLabel': 'Realtime', 'measureDescriptor': 'Time the measurement took', 'measureType': 'number', 'measureUnit': 's', 'measureUnitEx': 'second(s)', 'measureLow': 0, 'measureHigh': 4294967295, 'measureResolution': 0.001, 'measureAccuracy': 0.001, 'synchronisation_method': 0}, {'measureLabel': 'Total', 'measureDescriptor': 'Total counts inside the spectrum', 'measureType': 'number', 'measureUnit': 'cnts', 'measureUnitEx': 'count(s)', 'measureLow': 0, 'measureHigh': 4294967295, 'measureResolution': 1, 'measureAccuracy': 1, 'synchronisation_method': 0}, {'measureLabel': 'Countrate', 'measureDescriptor': 'Counts per second inside the spectrum (rounded)', 'measureType': 'number', 'measureUnit': 'cps', 'measureUnitEx': 'counts per second (cps)', 'measureLow': 0, 'measureHigh': 4294967295, 'measureResolution': 1, 'measureAccuracy': 1, 'synchronisation_method': 0}, {'measureLabel': 'Cosmics', 'measureDescriptor': 'Detected counts above the last channel', 'measureType': 'number', 'measureUnit': 'cnts', 'measureUnitEx': 'count(s)', 'measureLow': 0, 'measureHigh': 4294967295, 'measureResolution': 1, 'measureAccuracy': 1, 'synchronisation_method': 0}]",,,,,,,,,,,
,SPECTRO_4112,1.0,Spectrometer,"[{'measureLabel': 'Spectrum', 'measureDescriptor': 'A raw gamma-ray spectrum', 'measureType': 'array', 'measureUnit': 'cnts', 'measureUnitEx': 'count(s)', 'measureLow': 0, 'measureHigh': 4294967295, 'measureResolution': 1, 'measureAccuracy': 1, 'array_size': 512, 'synchronisation_method': 0}, {'measureLabel': 'Livetime', 'measureDescriptor': 'Time the sensor actually measured', 'measureType': 'number', 'measureUnit': 's', 'measureUnitEx': 'second(s)', 'measureLow': 0, 'measureHigh': 4294967295, 'measureResolution': 0.001, 'measureAccuracy': 0.001, 'synchronisation_method': 0}, {'measureLabel': 'Realtime', 'measureDescriptor': 'Time the measurement took', 'measureType': 'number', 'measureUnit': 's', 'measureUnitEx': 'second(s)', 'measureLow': 0, 'measureHigh': 4294967295, 'measureResolution': 0.001, 'measureAccuracy': 0.001, 'synchronisation_method': 0}, {'measureLabel': 'Total', 'measureDescriptor': 'Total counts inside the spectrum', 'measureType': 'number', 'measureUnit': 'cnts', 'measureUnitEx': 'count(s)', 'measureLow': 0, 'measureHigh': 4294967295, 'measureResolution': 1, 'measureAccuracy': 1, 'synchronisation_method': 0}, {'measureLabel': 'Countrate', 'measureDescriptor': 'Counts per second inside the spectrum (rounded)', 'measureType': 'number', 'measureUnit': 'cps', 'measureUnitEx': 'counts per second (cps)', 'measureLow': 0, 'measureHigh': 4294967295, 'measureResolution': 1, 'measureAccuracy': 1, 'synchronisation_method': 0}, {'measureLabel': 'Cosmics', 'measureDescriptor': 'Detected counts above the last channel', 'measureType': 'number', 'measureUnit': 'cnts', 'measureUnitEx': 'count(s)', 'measureLow': 0, 'measureHigh': 4294967295, 'measureResolution': 1, 'measureAccuracy': 1, 'synchronisation_method': 0}]","{'Serial': 4112, 'Firmware': '22.01', 'Hardware': '14.00', 'Highvoltage': 0, 'Channels': 512, 'Polarity': 'poNegative', 'Gain': '22.0000', 'Shapingtime': '1.0', 'Flattoptime': '1.2', 'Threshold': '0.0', 'ftThresholdRead': '0.0000'}",,,,,,,,,,
1749562270192.0,SPECTRO_4112,,,,,0.199,0.199,512.0,19.0,2.0,19.0,95.0,1.0,1749562270192.0,2025-06-10 13:31:10.192
1749562270393.0,SPECTRO_4112,,,,,0.2,0.2,512.0,19.0,2.0,19.0,95.0,2.0,1749562270393.0,2025-06-10 13:31:10.393
1749562270595.0,SPECTRO_4112,,,,,0.202,0.202,512.0,24.0,2.0,24.0,119.0,2.0,1749562270595.0,2025-06-10 13:31:10.595
1749562270795.0,SPECTRO_4112,,,,,0.199,0.199,512.0,17.0,2.0,17.0,85.0,1.0,1749562270795.0,2025-06-10 13:31:10.795
1749562271001.0,SPECTRO_4112,,,,,0.205,0.205,512.0,29.0,2.0,29.0,141.0,1.0,1749562271001.0,2025-06-10 13:31:11.001
1749562271195.0,SPECTRO_4112,,,,,0.194,0.194,512.0,24.0,3.0,24.0,124.0,0.0,1749562271195.0,2025-06-10 13:31:11.195
1749562271395.0,SPECTRO_4112,,,,,0.199,0.199,512.0,24.0,2.0,24.0,121.0,1.0,1749562271395.0,2025-06-10 13:31:11.395
1749562271596.0,SPECTRO_4112,,,,,0.2,0.2,512.0,15.0,2.0,15.0,75.0,1.0,1749562271596.0,2025-06-10 13:31:11.596
