timestamp,lat,lon,Total,Countrate,U238,K40,Th232,Cs137,Height,Press,Temp,Hum
1749563952174,63.790946055259546,9.372789441467182,60,101,-23.961,390.248,33.446,20.351,67.98947232947233,1007.9712680638722,16.98,50.79764471057884
1749563946173,63.790948110679345,9.372802974302536,73,134,14.649,169.106,37.379,-12.586,61.83147826086957,1008.3931008982036,16.97,50.89459081836327
1749564912670,63.790954686261195,9.371730179877417,42,60,6.968,62.269,6.467,48.774,59.97952475247525,1006.9529353293412,13.95,55.01674650698603
1749564915073,63.79095508149196,9.37172522455075,29,75,29.618,194.186,-19.009,41.276,60.306489184692175,1006.9634868263473,13.95,55.03445109780439
1749564915673,63.79095560114254,9.371722626597338,44,70,56.84,-68.718,-2.702,2.008,60.4063227953411,1006.9773582834331,13.95,55.03357285429142
1749563952775,63.79095608864947,9.372786178036606,64,105,-28.544,531.324,39.77,-6.379,65.7,1007.9197452095808,16.98,50.791646706586825
1749563722103,63.79095650158403,9.372809773250689,111,170,64.387,852.236,-6.388,11.768,54.51145454545455,1008.5325091724826,16.277816550348955,50.29
1749563729309,63.790956553867986,9.372806951485147,124,226,-27.391,626.872,55.752,53.805,54.568958415841585,1008.5335855433699,16.3,50.319341974077766
1749563951573,63.79095662967467,9.372786591048,72,109,54.368,273.367,6.998,24.461,66.0423488,1008.0216895874263,16.97641453831041,50.803585461689586
1749563932352,63.79095691150383,9.372807171305876,98,175,23.586,211.644,47.987,19.366,56.95632567049809,1008.519059481038,16.9349500998004,50.8349500998004
1749563913134,63.79095691184971,9.372805513872834,95,150,40.596,280.597,-21.745,65.165,57.34193063583815,1008.5267418163672,16.87,50.87343313373253
1749563734115,63.79095711660981,9.372803958880596,118,205,-23.966,769.408,35.764,13.032,54.65914712153518,1008.539918762475,16.31,50.342375249501
1749563720286,63.79095711908099,9.372808634080997,114,195,-53.57,704.74,77.782,54.498,54.4332523364486,1008.531458782435,16.27,50.28
1749563926346,63.790957134527936,9.372806360269749,131,185,16.217,243.929,85.278,23.833,56.966780346820805,1008.5193562874251,16.91,50.82982035928144
1749563717282,63.790957309438134,9.372809309804293,111,156,10.032,480.785,66.52,6.307,54.399375,1008.5294552894211,16.26,50.270279441117765
1749563878295,63.7909575077757,9.37280402324299,124,209,-63.735,872.304,59.412,91.755,56.35003364485981,1008.5227031904287,16.74,50.83577268195414
