20250611_090415_MWALK_#0122
Field-Nr.: 1
Date: 11.06.2025
Time: 09:04:44
MagWalk: 000122
Samples: 6753
###---Probe---###
Probe Firmware: 00.00-00/00
Median Probe Temperature: +20.9 [degC]
SampleFrequence: 250 [Hz]
Digital Probe Voltage: +3.64 [V]
Anlog Probe (positiv) Voltage: +12.11 [V]
Anlog Probe (negativ) Voltage: -12.13 [V]
###---DataLogger---###
DataLogger Firmware 04.00-02/00
Input Voltage: +11.96 [V]
Median Temperature: +24.0 [degC]
###---GPS---###
GGA Information
GPS enabeld
GGA Quality: 0 = invalid 1 = GPS fix (SPS); 2 = DGPS fix; 3 = PPS fix; 4 = Real Time Kinematic; 5 = Float RTK; 6 = estimated (dead reckoning) (2.3 feature); 7 = Manual input mode; 8 = Simulation mode

Timestamp [ms]; B1x [nT]; B1y [nT]; B1z [nT]; B2x [nT]; B2y [nT]; B2z [nT]; AccX [g]; AccY [g]; AccZ [g]; Temp [Deg]; Latitude [Decimal Degrees]; Longitude [Decimal Degrees]; Altitude [m]; Satellites; Quality; GPSTime; GPSDate; GPSTime [hh:mm:ss.sss];
0;14807.81;-7837.12;49649.84;14316.36;-6926.94;50027.84;0.042;0.047;1.012;0.0;0;0;0;0;0;0;0;0;
4;14809.19;-7835.69;49650.04;14316.22;-6927.07;50027.75;0.000;0.000;0.000;0.0;0;0;0;0;0;0;0;0;
8;14808.58;-7837.12;49648.87;14316.68;-6927.46;50028.10;0.043;0.047;1.012;0.0;0;0;0;0;0;0;0;0;
12;14808.37;-7837.13;49648.91;14316.78;-6926.87;50028.81;0.000;0.000;0.000;0.0;0;0;0;0;0;0;0;0;
16;14807.49;-7837.04;49649.45;14316.47;-6927.23;50029.19;0.044;0.047;1.012;0.0;0;0;0;0;0;0;0;0;
20;14806.81;-7836.88;49650.47;14315.86;-6926.91;50029.20;0.000;0.000;0.000;0.0;0;0;0;0;0;0;0;0;
24;14805.33;-7836.59;49650.11;14314.05;-6926.98;50028.77;0.044;0.046;1.012;0.0;63.7924367;9.3761413;11.7;12;2;90419.0;2025/06/11;09:04:19.000;
28;14804.08;-7836.69;49649.76;14313.16;-6926.86;50028.51;0.000;0.000;0.000;0.0;0;0;0;0;0;0;0;0;
32;14800.33;-7835.70;49651.72;14310.82;-6926.61;50030.46;0.045;0.046;1.012;0.0;0;0;0;0;0;0;0;0;
36;14798.21;-7836.29;49651.89;14307.84;-6927.37;50031.53;0.000;0.000;0.000;0.0;0;0;0;0;0;0;0;0;
40;14795.43;-7835.90;49651.35;14304.39;-6927.04;50031.89;0.046;0.046;1.012;0.0;0;0;0;0;0;0;0;0;
44;14792.81;-7835.80;49653.47;14301.55;-6926.15;50032.00;0.000;0.000;0.000;0.0;0;0;0;0;0;0;0;0;
48;14789.36;-7835.65;49656.22;14298.93;-6925.80;50034.91;0.046;0.045;1.012;0.0;0;0;0;0;0;0;0;0;
52;14785.78;-7835.38;49655.71;14294.88;-6925.30;50035.11;0.000;0.000;0.000;0.0;0;0;0;0;0;0;0;0;
56;14781.65;-7834.55;49657.44;14291.49;-6925.47;50035.65;0.046;0.045;1.012;0.0;0;0;0;0;0;0;0;0;
60;14779.16;-7834.83;49658.47;14288.83;-6925.34;50036.79;0.000;0.000;0.000;0.0;0;0;0;0;0;0;0;0;
64;14776.44;-7834.16;49659.62;14285.24;-6924.85;50038.02;0.046;0.045;1.012;0.0;0;0;0;0;0;0;0;0;
68;14773.27;-7834.25;49659.81;14282.86;-6925.55;50038.03;0.000;0.000;0.000;0.0;0;0;0;0;0;0;0;0;
72;14771.14;-7836.11;49660.75;14280.90;-6925.61;50039.12;0.046;0.045;1.012;0.0;0;0;0;0;0;0;0;0;
76;14770.72;-7834.88;49661.32;14278.48;-6924.71;50039.13;0.000;0.000;0.000;0.0;0;0;0;0;0;0;0;0;
80;14767.06;-7834.00;49662.21;14276.78;-6924.66;50039.73;0.045;0.045;1.012;0.0;0;0;0;0;0;0;0;0;
84;14764.56;-7833.19;49662.42;14274.99;-6924.69;50040.75;0.000;0.000;0.000;0.0;0;0;0;0;0;0;0;0;
88;14762.46;-7834.93;49662.35;14271.88;-6924.73;50040.61;0.044;0.046;1.012;0.0;0;0;0;0;0;0;0;0;
92;14761.14;-7834.80;49663.97;14270.00;-6924.64;50041.76;0.000;0.000;0.000;0.0;0;0;0;0;0;0;0;0;
96;14758.37;-7834.79;49663.38;14267.89;-6924.37;50043.08;0.042;0.046;1.012;0.0;0;0;0;0;0;0;0;0;
100;14757.24;-7835.52;49663.80;14266.21;-6924.63;50042.90;0.000;0.000;0.000;0.0;0;0;0;0;0;0;0;0;
104;14755.84;-7834.57;49665.02;14264.87;-6924.76;50043.75;0.041;0.046;1.012;0.0;0;0;0;0;0;0;0;0;
108;14753.81;-7835.00;49665.54;14263.56;-6924.12;50043.78;0.000;0.000;0.000;0.0;0;0;0;0;0;0;0;0;
112;14752.24;-7834.59;49666.22;14262.74;-6923.84;50043.33;0.040;0.046;1.012;0.0;0;0;0;0;0;0;0;0;
